pk,created_at,sentiment_noneu,sentiments_labels,bert_sentiment_labels,vader_sentiment_labels,distilbert_sentiment_labels,flair_sentiment_labels,roberta_sentiment_labels,sentistrength_sentiment_labels
41,12/03/2020 19:46,NEG,NEU,POS,NEG,POS,POS,POS,NEU
42,12/03/2020 21:36,POS,POS,NEG,NEG,NEG,NEG,NEG,NEG
43,12/03/2020 22:02,POS,POS,NEU,NEG,NEG,POS,POS,NEU
44,12/03/2020 22:14,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
45,12/03/2020 22:30,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
46,12/03/2020 22:39,POS,POS,POS,POS,POS,POS,POS,POS
47,13/03/2020 08:57,POS,POS,POS,POS,POS,POS,POS,POS
48,13/03/2020 10:59,POS,POS,NEU,NEU,NEG,NEG,POS,NEU
49,13/03/2020 12:50,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEU
50,13/03/2020 15:36,NEG,NEG,POS,NEU,POS,POS,NEG,NEU
51,13/03/2020 18:21,NEG,NEG,NEU,NEG,NEG,NEG,NEG,NEU
52,13/03/2020 19:33,NEG,NEG,POS,NEU,NEG,POS,POS,POS
53,13/03/2020 20:03,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
54,14/03/2020 08:48,NEG,NEU,NEU,POS,NEG,NEG,NEG,POS
55,14/03/2020 08:53,POS,POS,POS,POS,POS,POS,POS,NEU
56,14/03/2020 09:33,NEG,NEG,NEU,NEG,NEG,NEG,NEG,NEG
57,14/03/2020 09:51,POS,POS,NEG,POS,POS,POS,POS,POS
58,14/03/2020 11:55,NEG,NEG,NEU,NEU,NEG,NEG,NEG,NEG
59,14/03/2020 16:49,POS,POS,POS,POS,POS,POS,POS,POS
60,14/03/2020 17:08,POS,POS,NEU,NEU,NEG,NEG,POS,NEU
61,14/03/2020 18:34,POS,NEU,NEU,POS,NEG,POS,NEG,POS
62,14/03/2020 20:38,POS,POS,POS,POS,POS,POS,POS,NEU
63,14/03/2020 21:22,NEG,NEU,NEU,POS,NEG,NEG,NEG,POS
64,14/03/2020 23:19,NEG,NEG,NEG,NEU,NEG,NEG,NEG,NEU
65,15/03/2020 00:12,POS,NEU,NEU,POS,NEG,POS,POS,POS
66,15/03/2020 11:01,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEU
67,15/03/2020 11:42,NEG,NEU,NEG,NEG,POS,NEG,NEG,NEG
68,15/03/2020 11:46,NEG,NEG,NEU,NEU,NEG,POS,POS,POS
69,15/03/2020 12:30,NEG,NEG,NEU,POS,NEG,NEG,POS,POS
70,15/03/2020 13:53,NEG,NEG,NEU,NEG,NEG,NEG,NEG,NEU
71,15/03/2020 13:55,NEG,NEG,NEU,POS,NEG,POS,POS,NEG
72,15/03/2020 16:35,NEG,NEG,NEG,POS,POS,POS,POS,NEG
73,15/03/2020 17:59,NEG,NEG,POS,POS,NEG,POS,POS,POS
74,15/03/2020 18:41,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
75,15/03/2020 23:46,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
76,15/03/2020 23:48,NEG,NEG,NEG,POS,POS,POS,NEG,NEU
77,16/03/2020 08:27,NEG,NEG,NEG,NEU,NEG,NEG,NEG,NEU
78,16/03/2020 14:10,POS,NEU,NEU,POS,NEG,NEG,NEG,POS
79,16/03/2020 16:32,POS,POS,POS,POS,POS,POS,POS,POS
80,16/03/2020 16:37,NEG,NEU,NEU,NEG,NEG,NEG,NEG,NEG
81,16/03/2020 17:28,POS,NEU,NEU,POS,NEG,POS,NEG,POS
82,16/03/2020 17:43,POS,POS,POS,NEU,NEG,NEG,POS,POS
83,16/03/2020 18:17,NEG,NEG,NEG,NEG,NEG,POS,POS,NEG
84,16/03/2020 18:48,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
85,16/03/2020 18:55,POS,POS,POS,POS,NEG,POS,POS,POS
86,16/03/2020 19:02,NEG,NEG,NEG,POS,NEG,NEG,NEG,POS
87,16/03/2020 19:07,POS,NEU,NEU,NEU,NEG,POS,POS,POS
88,16/03/2020 19:16,POS,POS,NEU,NEU,NEG,NEG,NEG,NEU
89,16/03/2020 20:11,NEG,NEG,NEU,NEU,NEG,NEG,NEG,NEU
90,16/03/2020 21:06,POS,POS,POS,POS,POS,POS,POS,NEG
91,16/03/2020 22:36,NEG,NEG,NEU,NEU,NEG,NEG,NEG,NEU
92,16/03/2020 22:43,NEG,NEG,NEU,POS,NEG,POS,NEG,POS
93,16/03/2020 23:08,NEG,NEU,POS,POS,NEG,NEG,NEG,POS
94,16/03/2020 23:14,NEG,NEU,NEU,NEU,NEG,NEG,NEG,NEU
95,17/03/2020 02:44,NEG,NEG,NEU,NEG,NEG,NEG,NEG,NEG
96,17/03/2020 07:26,POS,POS,POS,POS,POS,POS,POS,NEU
97,17/03/2020 10:02,POS,NEU,NEU,NEU,NEG,NEG,POS,NEU
98,17/03/2020 10:55,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
99,17/03/2020 11:16,NEG,NEG,POS,NEU,NEG,POS,POS,NEU
100,17/03/2020 12:29,POS,NEU,NEU,NEU,NEG,NEG,NEG,NEU
101,17/03/2020 13:50,NEG,NEG,POS,POS,POS,NEG,POS,POS
102,17/03/2020 14:02,NEG,NEG,NEU,NEU,NEG,NEG,NEG,NEU
103,17/03/2020 14:22,NEG,NEU,NEU,POS,NEG,NEG,POS,POS
104,17/03/2020 16:26,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
105,17/03/2020 16:29,NEG,NEG,NEU,NEU,POS,NEG,NEG,NEU
106,17/03/2020 16:53,NEG,NEU,NEU,NEG,NEG,POS,NEG,NEU
107,17/03/2020 17:21,POS,POS,NEU,NEU,NEG,POS,POS,NEG
108,17/03/2020 18:26,NEG,NEG,NEU,POS,NEG,NEG,NEG,POS
109,17/03/2020 18:50,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
110,17/03/2020 19:40,NEG,NEG,NEU,NEG,NEG,POS,POS,NEG
111,17/03/2020 19:55,POS,POS,NEU,NEU,NEG,NEG,POS,NEU
112,17/03/2020 21:16,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG
113,17/03/2020 22:11,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
114,17/03/2020 22:11,POS,POS,POS,NEG,NEG,POS,POS,NEG
115,17/03/2020 22:33,NEG,NEU,NEG,NEG,NEG,NEG,NEG,NEU
116,17/03/2020 22:42,POS,POS,NEU,POS,NEG,NEG,NEG,POS
117,17/03/2020 22:59,POS,NEU,NEG,NEU,NEG,NEG,NEG,NEU
118,18/03/2020 00:36,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEU
119,18/03/2020 06:16,POS,POS,POS,POS,NEG,POS,POS,POS
120,18/03/2020 07:41,POS,NEU,NEU,NEU,NEG,NEG,NEG,NEU
121,18/03/2020 10:58,POS,POS,NEG,POS,NEG,NEG,NEG,NEU
122,18/03/2020 11:31,NEG,NEG,NEU,POS,NEG,NEG,NEG,NEU
123,18/03/2020 12:51,NEG,NEG,NEU,NEU,NEG,NEG,NEG,NEU
124,18/03/2020 16:26,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
125,18/03/2020 16:36,POS,POS,NEU,NEG,NEG,NEG,POS,NEG
126,18/03/2020 17:29,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
127,18/03/2020 17:59,POS,POS,POS,POS,POS,POS,NEG,POS
128,18/03/2020 18:11,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS
129,18/03/2020 20:03,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
130,18/03/2020 20:04,NEG,NEG,NEG,NEU,NEG,NEG,NEG,NEU
131,18/03/2020 20:24,POS,NEU,NEU,NEG,NEG,POS,POS,NEG
132,18/03/2020 21:12,POS,POS,POS,POS,POS,POS,POS,POS
133,18/03/2020 22:44,POS,NEU,NEU,NEU,NEG,POS,POS,POS
134,18/03/2020 23:28,NEG,NEG,POS,POS,POS,POS,POS,POS
135,19/03/2020 07:04,NEG,NEG,POS,NEG,POS,POS,NEG,NEU
136,19/03/2020 07:52,POS,NEU,NEU,POS,NEG,POS,POS,POS
137,19/03/2020 08:56,NEG,NEU,NEU,NEU,NEG,NEG,NEG,NEU
138,19/03/2020 09:11,POS,POS,POS,POS,POS,POS,POS,NEG
139,19/03/2020 10:28,POS,POS,POS,POS,POS,POS,POS,POS
140,19/03/2020 11:10,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG
141,19/03/2020 11:34,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
142,19/03/2020 11:51,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEU
143,19/03/2020 12:53,NEG,NEU,NEU,NEU,NEG,POS,NEG,POS
144,19/03/2020 13:55,NEG,NEG,NEG,NEG,NEG,POS,POS,POS
145,19/03/2020 14:17,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG
146,19/03/2020 14:26,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
147,19/03/2020 17:25,POS,POS,POS,POS,POS,POS,POS,POS
148,19/03/2020 18:51,POS,POS,POS,NEU,POS,POS,POS,NEU
149,19/03/2020 19:55,POS,POS,POS,POS,POS,POS,POS,POS
150,19/03/2020 22:30,NEG,NEG,NEG,NEU,NEG,NEG,NEG,NEU
151,19/03/2020 23:09,NEG,NEU,NEU,POS,NEG,NEG,NEG,POS
152,20/03/2020 09:33,POS,POS,POS,POS,POS,POS,POS,POS
153,20/03/2020 10:42,NEG,NEG,NEU,NEG,NEG,POS,POS,NEG
154,20/03/2020 11:02,POS,NEU,NEU,POS,NEG,NEG,NEG,POS
155,20/03/2020 11:09,POS,POS,NEU,NEU,NEG,POS,POS,NEU
156,20/03/2020 12:10,POS,POS,NEU,POS,POS,POS,POS,POS
157,20/03/2020 12:29,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
158,20/03/2020 13:09,POS,NEU,POS,POS,NEG,NEG,POS,POS
159,20/03/2020 13:12,NEG,NEG,NEU,POS,POS,POS,POS,NEU
160,20/03/2020 14:26,POS,POS,POS,POS,NEG,POS,POS,NEU
161,20/03/2020 15:13,POS,POS,NEU,POS,NEG,NEG,NEG,POS
162,20/03/2020 16:07,NEG,NEG,NEG,POS,POS,POS,POS,POS
163,20/03/2020 17:40,NEG,NEG,NEU,NEU,NEG,NEG,NEG,NEG
164,20/03/2020 17:53,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEU
165,20/03/2020 18:20,NEG,NEU,NEG,NEG,NEG,NEG,NEG,NEG
166,20/03/2020 18:25,NEG,NEG,NEU,POS,NEG,NEG,NEG,NEG
167,20/03/2020 18:26,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG
168,20/03/2020 19:02,NEG,NEG,NEG,NEU,NEG,NEG,NEG,NEG
169,20/03/2020 19:51,POS,NEU,POS,POS,POS,POS,POS,NEG
170,20/03/2020 20:13,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
171,20/03/2020 20:54,NEG,NEG,POS,POS,POS,POS,POS,NEG
172,20/03/2020 20:58,NEG,NEG,NEG,NEU,NEG,NEG,NEG,NEG
173,20/03/2020 22:01,NEG,NEU,NEU,POS,NEG,POS,NEG,POS
174,21/03/2020 06:35,POS,POS,POS,POS,POS,POS,POS,POS
175,21/03/2020 10:30,POS,NEU,NEU,POS,NEG,NEG,NEG,NEG
176,21/03/2020 10:48,POS,POS,NEU,POS,NEG,POS,NEG,POS
177,21/03/2020 10:57,NEG,NEG,NEG,POS,NEG,POS,NEG,NEG
178,21/03/2020 11:04,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
179,21/03/2020 12:36,NEG,NEU,NEG,NEG,NEG,NEG,NEG,NEG
180,21/03/2020 12:49,POS,NEU,POS,POS,POS,POS,POS,NEU
181,21/03/2020 14:24,POS,POS,NEG,NEG,NEG,POS,POS,NEG
182,21/03/2020 14:58,NEG,NEU,NEU,POS,NEG,NEG,NEG,POS
183,21/03/2020 16:59,POS,POS,POS,NEU,POS,POS,POS,NEU
184,21/03/2020 17:40,NEG,NEG,NEU,NEG,NEG,NEG,POS,NEU
185,21/03/2020 18:17,POS,POS,NEU,NEG,NEG,POS,NEG,NEG
186,21/03/2020 18:58,POS,POS,POS,NEU,NEG,POS,POS,NEU
187,21/03/2020 18:59,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
188,21/03/2020 19:20,POS,NEU,NEU,NEU,NEG,POS,POS,POS
189,21/03/2020 19:59,POS,POS,POS,POS,POS,POS,POS,POS
190,21/03/2020 20:14,NEG,NEG,NEU,NEU,POS,POS,NEG,POS
191,21/03/2020 20:14,POS,POS,POS,POS,POS,POS,POS,POS
192,22/03/2020 00:05,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
193,22/03/2020 00:15,NEG,NEG,NEU,NEG,NEG,POS,NEG,POS
194,22/03/2020 09:38,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEU
195,22/03/2020 11:40,NEG,NEG,NEU,NEU,NEG,POS,NEG,NEU
196,22/03/2020 12:04,NEG,NEU,NEU,NEU,NEG,POS,POS,NEU
197,22/03/2020 12:55,POS,POS,NEU,NEU,NEG,POS,POS,NEU
198,22/03/2020 13:15,POS,NEU,NEU,NEU,NEG,POS,POS,POS
199,22/03/2020 13:26,POS,POS,NEU,POS,NEG,NEG,NEG,POS
200,22/03/2020 13:33,POS,POS,POS,POS,POS,POS,POS,POS
201,22/03/2020 15:30,NEG,NEU,NEU,NEU,NEG,POS,POS,NEU
202,22/03/2020 15:52,NEG,NEG,POS,NEU,NEG,NEG,NEG,NEU
203,22/03/2020 16:37,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
204,22/03/2020 16:54,NEG,NEG,NEG,NEU,NEG,NEG,NEG,POS
205,22/03/2020 17:16,POS,POS,NEU,POS,POS,POS,POS,POS
206,22/03/2020 17:57,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
207,22/03/2020 18:08,POS,POS,POS,POS,POS,POS,POS,POS
208,22/03/2020 18:18,POS,POS,NEU,POS,NEG,POS,NEG,POS
209,22/03/2020 18:25,NEG,NEG,NEU,NEU,NEG,NEG,NEG,NEU
210,22/03/2020 19:15,NEG,NEU,NEU,NEU,POS,POS,POS,POS
211,22/03/2020 19:26,NEG,NEU,POS,POS,NEG,POS,POS,NEU
212,22/03/2020 19:34,POS,NEU,NEU,POS,POS,POS,POS,POS
213,23/03/2020 00:33,POS,NEU,NEU,NEG,NEG,POS,POS,NEG
214,23/03/2020 01:17,NEG,NEG,NEG,NEU,NEG,NEG,POS,NEU
215,23/03/2020 04:59,POS,POS,POS,POS,POS,POS,POS,NEU
216,23/03/2020 08:02,POS,POS,NEU,NEU,NEG,POS,NEG,NEU
217,23/03/2020 08:11,NEG,NEG,NEG,NEU,NEG,NEG,NEG,POS
218,23/03/2020 08:57,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
219,23/03/2020 09:09,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEU
220,23/03/2020 10:45,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
221,23/03/2020 11:40,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEU
222,23/03/2020 12:25,NEG,NEU,POS,POS,POS,NEG,POS,NEG
223,23/03/2020 13:08,POS,NEU,NEU,POS,POS,POS,NEG,NEU
224,23/03/2020 14:23,POS,POS,POS,POS,POS,POS,POS,POS
225,23/03/2020 14:28,POS,POS,POS,NEG,POS,POS,POS,POS
226,23/03/2020 14:42,NEG,NEG,POS,POS,NEG,NEG,POS,POS
227,23/03/2020 15:57,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEU
228,23/03/2020 16:45,NEG,NEG,NEU,POS,NEG,NEG,NEG,NEG
229,23/03/2020 17:29,POS,POS,NEU,NEU,NEG,POS,POS,NEG
230,23/03/2020 17:52,NEU,NEG,NEG,NEU,NEG,NEG,NEG,NEU
231,23/03/2020 18:42,POS,POS,POS,POS,POS,POS,POS,POS
232,23/03/2020 19:20,NEG,NEG,NEG,POS,NEG,NEG,NEG,POS
233,23/03/2020 19:55,NEG,NEG,NEU,NEU,NEG,NEG,NEG,NEU
234,23/03/2020 20:43,POS,POS,NEU,NEU,POS,POS,NEG,NEU
235,23/03/2020 20:51,NEG,NEG,POS,POS,POS,POS,POS,POS
236,23/03/2020 20:56,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
237,23/03/2020 21:00,NEG,NEG,NEU,NEU,POS,POS,POS,NEU
238,23/03/2020 21:01,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
239,23/03/2020 22:08,POS,NEU,NEU,POS,POS,NEG,POS,NEU
240,23/03/2020 22:35,NEG,NEG,NEU,POS,POS,POS,NEG,NEG
241,23/03/2020 23:43,POS,NEU,NEU,NEG,NEG,POS,NEG,NEG
242,24/03/2020 00:05,POS,POS,POS,NEU,NEG,POS,POS,POS
243,24/03/2020 00:29,NEG,NEG,NEU,POS,POS,POS,POS,NEG
244,24/03/2020 00:58,NEG,NEG,NEU,POS,NEG,NEG,POS,POS
245,24/03/2020 01:07,NEG,NEG,NEG,POS,NEG,NEG,NEG,POS
246,24/03/2020 05:47,POS,POS,POS,POS,POS,POS,POS,POS
247,24/03/2020 06:21,NEG,NEU,NEG,NEU,NEG,NEG,NEG,NEG
248,24/03/2020 07:01,NEG,NEG,NEU,NEG,NEG,POS,NEG,NEG
249,24/03/2020 07:53,POS,POS,POS,POS,NEG,NEG,POS,POS
250,24/03/2020 08:09,NEG,NEG,POS,POS,POS,NEG,POS,POS
251,24/03/2020 08:09,POS,POS,NEU,NEU,NEG,NEG,POS,NEU
252,24/03/2020 09:18,NEG,NEG,NEU,NEU,NEG,NEG,NEG,NEG
253,24/03/2020 09:53,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEU
254,24/03/2020 10:12,NEG,NEG,NEU,NEG,NEG,NEG,NEG,POS
255,24/03/2020 10:38,NEG,NEG,NEU,POS,NEG,NEG,POS,POS
256,24/03/2020 10:48,NEG,NEG,NEG,NEG,NEG,POS,NEG,POS
257,24/03/2020 11:41,POS,POS,POS,POS,POS,POS,POS,POS
258,24/03/2020 12:08,POS,POS,NEU,NEG,POS,POS,POS,NEG
259,24/03/2020 12:47,POS,POS,NEU,POS,NEG,POS,NEG,NEU
260,24/03/2020 12:58,POS,POS,POS,POS,POS,POS,POS,POS
261,24/03/2020 13:05,NEG,NEG,NEU,NEG,NEG,POS,NEG,NEU
262,24/03/2020 13:56,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG
263,24/03/2020 14:35,POS,POS,POS,POS,POS,POS,POS,NEG
264,24/03/2020 15:14,POS,POS,NEU,POS,NEG,POS,POS,NEU
265,24/03/2020 15:32,NEG,NEG,NEU,POS,NEG,NEG,NEG,NEU
266,24/03/2020 16:10,NEG,NEG,NEU,NEU,NEG,POS,POS,NEU
267,24/03/2020 16:34,POS,POS,POS,POS,POS,POS,POS,POS
268,24/03/2020 17:55,POS,POS,NEU,NEU,NEG,NEG,NEG,NEU
269,24/03/2020 19:16,POS,POS,NEU,NEU,NEG,NEG,NEG,NEU
270,24/03/2020 19:59,POS,POS,NEU,POS,NEG,POS,NEG,POS
271,24/03/2020 20:02,POS,POS,NEU,POS,NEG,POS,POS,NEU
272,24/03/2020 20:09,POS,POS,NEU,POS,NEG,NEG,NEG,NEU
273,24/03/2020 21:16,POS,POS,POS,POS,POS,POS,POS,POS
274,24/03/2020 22:16,NEG,NEG,NEG,POS,POS,NEG,NEG,NEG
275,25/03/2020 00:22,NEG,NEG,NEG,NEU,NEG,NEG,NEG,NEU
276,25/03/2020 07:58,NEG,NEU,NEU,NEG,NEG,NEG,NEG,NEG
277,25/03/2020 10:31,POS,NEU,NEU,POS,NEG,POS,POS,NEG
278,25/03/2020 11:42,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEU
279,25/03/2020 11:52,POS,POS,POS,NEG,NEG,POS,POS,NEU
280,25/03/2020 12:50,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
281,25/03/2020 13:27,NEG,NEG,NEU,POS,NEG,POS,NEG,NEG
282,25/03/2020 13:49,POS,POS,NEU,NEU,NEG,POS,NEG,NEU
283,25/03/2020 14:02,NEG,NEG,NEU,POS,NEG,NEG,NEG,NEU
284,25/03/2020 14:44,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEU
285,25/03/2020 16:55,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG
286,25/03/2020 17:05,POS,POS,POS,NEG,NEG,POS,POS,POS
287,25/03/2020 17:55,NEG,NEG,NEG,POS,NEG,NEG,NEG,POS
288,25/03/2020 18:00,POS,POS,POS,NEG,NEG,POS,POS,POS
289,25/03/2020 18:14,NEG,NEG,NEU,POS,NEG,NEG,NEG,NEU
290,25/03/2020 18:15,NEG,NEG,NEG,NEU,NEG,NEG,NEG,NEU
291,25/03/2020 20:25,NEG,NEG,NEG,NEU,NEG,NEG,NEG,NEU
292,25/03/2020 21:56,NEG,NEU,NEG,NEU,NEG,NEG,NEG,NEU
293,26/03/2020 06:37,POS,POS,POS,POS,NEG,NEG,POS,POS
294,26/03/2020 08:28,NEG,NEG,NEG,NEU,POS,POS,POS,POS
295,26/03/2020 09:40,NEG,NEG,NEU,NEG,POS,NEG,NEG,NEG
296,26/03/2020 09:53,NEG,NEG,NEU,NEU,POS,NEG,POS,NEU
297,26/03/2020 10:20,NEG,NEG,NEU,NEU,NEG,NEG,NEG,NEU
298,26/03/2020 12:38,POS,POS,POS,POS,POS,POS,POS,NEU
299,26/03/2020 13:29,NEG,NEG,NEG,NEU,NEG,NEG,NEG,NEU
300,26/03/2020 15:50,POS,POS,POS,POS,POS,POS,POS,POS
301,26/03/2020 18:10,POS,POS,NEU,NEU,NEG,POS,POS,NEU
302,26/03/2020 18:11,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
303,26/03/2020 19:31,POS,POS,NEU,POS,NEG,NEG,POS,POS
304,26/03/2020 19:48,NEG,NEG,NEG,NEU,NEG,NEG,NEG,NEG
305,26/03/2020 20:43,POS,POS,POS,POS,NEG,NEG,POS,POS
306,26/03/2020 21:28,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEU
307,26/03/2020 23:17,NEG,NEG,NEU,POS,NEG,NEG,NEG,NEU
308,27/03/2020 08:15,NEG,NEU,NEU,NEU,NEG,NEG,POS,POS
309,27/03/2020 11:26,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
310,27/03/2020 11:54,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG
311,27/03/2020 12:14,NEG,NEG,POS,NEU,NEG,NEG,NEG,POS
312,27/03/2020 13:28,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
313,27/03/2020 13:36,POS,POS,POS,POS,NEG,POS,POS,POS
314,27/03/2020 14:16,POS,POS,POS,POS,POS,POS,POS,POS
315,27/03/2020 15:24,NEG,NEG,NEU,NEU,NEG,NEG,NEG,NEU
316,27/03/2020 19:16,POS,POS,POS,POS,POS,POS,POS,POS
317,27/03/2020 20:15,NEG,NEG,NEG,NEU,NEG,NEG,NEG,POS
318,27/03/2020 20:21,POS,POS,POS,NEU,NEG,POS,POS,NEG
319,27/03/2020 21:31,NEG,NEG,NEU,NEG,NEG,NEG,NEG,NEG
320,27/03/2020 22:23,NEG,NEG,POS,POS,NEG,NEG,POS,POS
321,28/03/2020 03:40,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
322,28/03/2020 08:20,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
323,28/03/2020 08:23,POS,POS,NEU,POS,NEG,NEG,POS,NEG
324,28/03/2020 10:44,NEG,NEU,NEU,NEU,NEG,POS,NEG,NEU
325,28/03/2020 11:17,POS,POS,POS,POS,POS,POS,POS,NEU
326,28/03/2020 11:46,POS,POS,POS,POS,POS,POS,POS,POS
327,28/03/2020 12:44,POS,POS,POS,NEG,NEG,POS,POS,NEG
